month,year,cover_url
January,2020,https://www.thrashermagazine.com//images/TH0120Cover.jpg
December,2019,https://www.thrashermagazine.com//images/image/Covers_Archive/December_19.jpg
November,2019,https://www.thrashermagazine.com//images/image/Covers_Archive/November_19.jpg
October,2019,https://www.thrashermagazine.com//images/image/Covers_Archive/October_19.jpg
September,2019,https://www.thrashermagazine.com//images/image/Covers_Archive/September_19.jpg
August,2019,https://www.thrashermagazine.com//images/image/Covers_Archive/Aug_19.jpg
July,2019,https://www.thrashermagazine.com//images/image/Covers_Archive/July_19.jpg
June,2019,https://www.thrashermagazine.com//images/image/Covers_Archive/June_19.jpg
May,2019,https://www.thrashermagazine.com//images/image/Covers_Archive/May2019.jpg
April,2019,https://www.thrashermagazine.com//images/image/Covers_Archive/April_19.jpg
March,2019,https://www.thrashermagazine.com//images/image/Covers_Archive/March-19.jpg
February,2019,https://www.thrashermagazine.com//images/image/Covers Section/images/February2019sfw.jpg
January,2019,https://www.thrashermagazine.com//images/image/Covers Section/images/January2019sfw.jpg
December,2018,https://www.thrashermagazine.com//images/image/Covers Section/images/December2018sfw.jpg
November,2018,https://www.thrashermagazine.com//images/image/Covers Section/images/November2018sfw.jpg
October,2018,https://www.thrashermagazine.com//images/image/Covers Section/images/October2018sfw.jpg
September,2018,https://www.thrashermagazine.com//images/image/Covers Section/images/September2018sfw.jpg
August,2018,https://www.thrashermagazine.com//images/image/Covers Section/images/August2018sfw.jpg
July,2018,https://www.thrashermagazine.com//images/image/Covers Section/images/July2018sfw.jpg
June,2018,https://www.thrashermagazine.com//images/image/Covers Section/images/June2018sfw.jpg
May,2018,https://www.thrashermagazine.com//images/image/Covers Section/images/May2018sfw.jpg
April,2018,https://www.thrashermagazine.com//images/image/Covers Section/images/April2018sfw.jpg
March,2018,https://www.thrashermagazine.com//images/image/Covers Section/images/March2018sfw.jpg
February,2018,https://www.thrashermagazine.com//images/image/Covers Section/images/February2018sfw.jpg
January,2018,https://www.thrashermagazine.com//images/image/Covers Section/images/January2018sfw.jpg
December,2017,https://www.thrashermagazine.com//images/image/Covers Section/images/December2017sfw.jpg
November,2017,https://www.thrashermagazine.com//images/image/Covers Section/images/November2017sfw.jpg
October,2017,https://www.thrashermagazine.com//images/image/Covers Section/images/October2017sfw.jpg
September,2017,https://www.thrashermagazine.com//images/image/Covers Section/images/September2017sfw.jpg
August,2017,https://www.thrashermagazine.com//images/image/Covers Section/images/August2017sfw.jpg
July,2017,https://www.thrashermagazine.com//images/image/Covers Section/images/July2017sfw.jpg
June,2017,https://www.thrashermagazine.com//images/image/Covers Section/images/June2017sfw.jpg
May,2017,https://www.thrashermagazine.com//images/image/Covers Section/images/May2017sfw.jpg
April,2017,https://www.thrashermagazine.com//images/image/Covers Section/images/April2017sfw.jpg
